date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:48	10718/10718	---MCZ	200	added ('OK')	text/html	etag:W/%220ff60fafe7bd81:0%22	https://www.w3schools.com/w3css/tryw3css_templates_analytics.htm	C:/My%20Web%20Sites/admin_quiz/www.w3schools.com/w3css/tryw3css_templates_analytics.html	(from )
10:34:48	126/126	---M--	200	added ('OK')	text/plain	etag:%220ff60fafe7bd81:0%22	https://www.w3schools.com/robots.txt		(from )
10:34:49	23427/23427	---MCZ	200	added ('OK')	text/css	etag:W/%220ff60fafe7bd81:0%22	https://www.w3schools.com/w3css/4/w3.css	C:/My%20Web%20Sites/admin_quiz/www.w3schools.com/w3css/4/w3.css	(from https://www.w3schools.com/w3css/tryw3css_templates_analytics.htm)
10:34:49	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/admin_quiz/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.w3schools.com/w3css/tryw3css_templates_analytics.htm)
10:34:49	8490/8490	---M--	200	added ('OK')	image/png	etag:%220ff60fafe7bd81:0%22	https://www.w3schools.com/w3images/avatar2.png	C:/My%20Web%20Sites/admin_quiz/www.w3schools.com/w3images/avatar2.png	(from https://www.w3schools.com/w3css/tryw3css_templates_analytics.htm)
10:34:49	28857/28857	---M--	200	added ('OK')	image/jpeg	etag:%220ff60fafe7bd81:0%22	https://www.w3schools.com/w3images/region.jpg	C:/My%20Web%20Sites/admin_quiz/www.w3schools.com/w3images/region.jpg	(from https://www.w3schools.com/w3css/tryw3css_templates_analytics.htm)
10:34:49	7712/7712	---M--	200	added ('OK')	image/png	etag:%220ff60fafe7bd81:0%22	https://www.w3schools.com/w3images/avatar5.png	C:/My%20Web%20Sites/admin_quiz/www.w3schools.com/w3images/avatar5.png	(from https://www.w3schools.com/w3css/tryw3css_templates_analytics.htm)
10:34:50	7677/7677	---M--	200	added ('OK')	image/png	etag:%220ff60fafe7bd81:0%22	https://www.w3schools.com/w3images/avatar6.png	C:/My%20Web%20Sites/admin_quiz/www.w3schools.com/w3images/avatar6.png	(from https://www.w3schools.com/w3css/tryw3css_templates_analytics.htm)
10:34:50	8229/8229	---M--	200	added ('OK')	image/png	etag:%220ff60fafe7bd81:0%22	https://www.w3schools.com/w3images/avatar3.png	C:/My%20Web%20Sites/admin_quiz/www.w3schools.com/w3images/avatar3.png	(from https://www.w3schools.com/w3css/tryw3css_templates_analytics.htm)
10:34:50	10744/10744	---M--	200	added ('OK')	image/png	etag:%220ff60fafe7bd81:0%22	https://www.w3schools.com/w3images/avatar1.png	C:/My%20Web%20Sites/admin_quiz/www.w3schools.com/w3images/avatar1.png	(from https://www.w3schools.com/w3css/tryw3css_templates_analytics.htm)
